Price,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY
Date,,,,,
2024-01-02,196.51278686523438,197.84144647418805,194.51488672444748,195.55812344613742,434800
2024-01-03,193.6192626953125,196.18799346736245,190.46986472244825,194.12120808713004,475900
2024-01-04,192.58584594726562,194.14086434782365,192.19217686605393,192.89095675534443,612000
2024-01-05,192.9893798828125,194.15072928259073,191.66073537857008,191.66073537857008,491700
2024-01-08,192.3004608154297,193.42243434858648,191.26706058337396,192.84176712912696,543400
2024-01-09,192.31028747558594,192.42840022187565,190.43050021667665,190.7257445386163,428600
2024-01-10,192.9795379638672,193.10748717839147,191.40483153938516,192.2709215746016,350100
2024-01-11,193.60943603515625,193.7176972999058,191.0800660394232,192.70398501066666,311100
2024-01-12,194.00308227539062,195.20379251818176,192.21186839980075,195.07585832404092,273100
2024-01-16,193.0779571533203,193.3436920666434,190.96195937106248,192.4677655173698,328500
2024-01-17,193.26495361328125,193.43226373729462,191.91662113195866,192.300453773522,307500
2024-01-18,195.35145568847656,195.4695534272511,192.38904058908446,193.40275289360613,274200
2024-01-19,197.4281005859375,197.53636185664652,194.32789966155153,195.84355745147775,350000
2024-01-22,198.88465881347656,199.41611358139505,197.45758960465486,197.54616289638912,337400
2024-01-23,197.8512725830078,201.27624192816975,197.201705029654,199.85902410837153,407700
2024-01-24,195.32191467285156,199.95743073642302,195.28253875159263,198.6878350998278,319100
2024-01-25,197.24107360839844,199.77042835560488,196.2273614117439,198.19573694194895,393700
2024-01-26,197.8217315673828,198.40239871753175,196.43402327905034,198.04809053790459,404400
2024-01-29,196.7489776611328,197.8217387096336,194.75107772034204,197.34933279224566,601400
2024-01-30,198.05796813964844,199.11104132897384,195.50891019741968,195.81402104532302,708700
2024-01-31,196.29624938964844,200.54794780055394,193.80625551180825,200.12473924675365,1177600
2024-02-01,196.30609130859375,198.47130131191938,191.08004184558388,197.54616244256343,648300
2024-02-02,195.715576171875,196.5029293737933,191.7000883578535,194.72155195268,693200
2024-02-05,192.8417510986328,195.70574106960578,192.46775494616514,193.6487772485469,1091400
2024-02-06,195.30223083496094,195.92227395901065,191.63121451954666,192.6154023266025,573900
2024-02-07,199.85902404785156,200.03617064370493,195.63684996984446,196.64072573222234,494600
2024-02-08,199.76060485839844,201.2860989968885,197.2509228908844,200.69558029246832,354800
2024-02-09,201.53213500976562,201.90611615257552,198.8157671379649,199.32754898616867,450200
2024-02-12,203.53985595703125,205.1637746735188,201.51243169660975,202.1718356539062,442000
2024-02-13,200.62669372558594,201.47309585406663,198.72720341808818,200.51843246435536,345700
2024-02-14,203.12652587890625,203.19542623549663,201.0203645208571,201.51245843645282,333100
2024-02-15,205.37046813964844,205.62635156348114,203.41192899498094,203.6678274363278,259800
2024-02-16,205.52793884277344,208.36240449536893,205.0358449457264,205.0358449457264,306400
2024-02-20,206.39404296875,208.18525706692895,204.24850562234275,204.47486462550225,606800
2024-02-21,207.5947265625,207.7620517048126,205.42951639435347,206.68927558373014,359900
2024-02-22,212.9979248046875,213.0176127658623,208.00810039913625,208.64781647093295,572400
2024-02-23,211.2952880859375,214.09037792502482,210.7047693796449,213.39161297401026,455600
2024-02-26,210.92127990722656,211.58068391515582,209.59263541991135,211.1476388908408,322000
2024-02-27,210.71461486816406,212.18104508508733,210.15362061141138,211.34449446209751,318100
2024-02-28,210.77365112304688,211.73815090847035,209.4548431486394,209.66151416533071,302000
2024-02-29,213.10618591308594,213.4900185593934,210.7638141129195,211.2657595086776,1083800
2024-03-01,213.29318237304688,214.3954679094147,211.6495905402434,212.58456595180638,255800
2024-03-04,212.71250915527344,216.09811751265326,212.62392084198862,213.97226830906402,375100
2024-03-05,213.55221557617188,215.1130838488007,212.52481643512905,212.52481643512905,419600
2024-03-06,211.42825317382812,214.36228811206684,211.39861767538187,213.64111745252154,345800
2024-03-07,213.5225830078125,214.17459414469675,212.6235993258061,213.07803544139426,285900
2024-03-08,213.1175537109375,215.7453453234069,212.791548128277,213.78932690145237,391800
2024-03-11,213.35464477539062,214.00665591621524,209.5117525530269,212.6828716101146,309000
2024-03-12,214.16470336914062,214.38204041250935,211.7740109660924,213.66088480897187,281600
2024-03-13,212.22845458984375,215.18225173000477,211.90244901325008,214.74757762787985,453400
2024-03-14,213.35464477539062,213.84858986861994,210.1933991935246,211.48753292594415,462400
2024-03-15,213.0681610107422,215.28104058831101,211.5665786901862,211.5665786901862,643700
2024-03-18,211.872802734375,214.53022966298565,211.72462524073805,213.27560494549877,355900
2024-03-19,212.60386657714844,213.6016302994483,211.65548530796542,212.28773446275113,368700
2024-03-20,213.84857177734375,214.63888687445274,211.6060570230739,212.82115762890004,308000
2024-03-21,215.98243713378906,217.09874279852752,213.51271165798397,214.3721712998816,284600
2024-03-22,212.96937561035156,216.54553338598845,212.50506600065182,216.54553338598845,343100
2024-03-25,214.67840576171875,214.9747758210744,212.98912204920407,213.27560355970988,339400
2024-03-26,216.75299072265625,220.3686724444422,214.8068458377937,214.8068458377937,648300
2024-03-27,221.52450561523438,221.52450561523438,216.43686200085415,217.39511670830413,470200
2024-03-28,220.54647827148438,222.5321320669052,220.3686652781665,221.6331634773411,316700
2024-04-01,220.8626251220703,221.66281379350534,219.5092052617585,220.7045590681055,256000
2024-04-02,217.70135498046875,219.95374339361362,217.04935891540634,219.86483689483347,402900
2024-04-03,218.46202087402344,218.89669493934142,216.8616437008136,217.7211032828697,358800
2024-04-04,214.51046752929688,221.20836157039068,214.20422399326574,220.06240537349368,385600
2024-04-05,215.46871948242188,216.0416975736836,213.26572868640375,214.2239833300992,361100
2024-04-08,215.55763244628906,217.64208131149917,214.65864877229626,215.97254450951473,322600
2024-04-09,216.86166381835938,217.05923884619403,214.78708834107456,215.7947405792422,293400
2024-04-10,212.91009521484375,215.34029660935676,212.73226714446037,214.0560363641712,389000
2024-04-11,212.39637756347656,213.91772172834484,211.92219452266147,213.0878976384167,325200
2024-04-12,208.6720428466797,212.20869157361824,208.54362737093052,210.17364017227558,460400
2024-04-15,208.721435546875,212.88045982772164,207.72367189400097,211.35910051255846,286400
2024-04-16,208.5337371826172,209.52162737542773,206.84445339435567,208.7905982801131,333600
2024-04-17,206.3900146484375,210.73674048593148,206.21220165151672,210.19339787199374,442700
2024-04-18,206.81480407714844,208.39541923563922,205.88618494610648,207.37789361094613,340600
2024-04-19,209.0079345703125,209.43272011615633,206.78518164455141,206.78518164455141,618600
2024-04-22,209.20550537109375,210.7663736474516,208.0990581311646,209.11658379961187,428200
2024-04-23,208.7708282470703,209.66981190580478,207.37789951087834,208.58312670579525,852600
