Price,Close,High,Low,Open,Volume
Ticker,ELV,ELV,ELV,ELV,ELV
Date,,,,,
2024-01-02,472.4808654785156,474.2866171705504,464.91258390630645,465.4947570954821,1358900
2024-01-03,474.1188659667969,481.519418667211,472.7374354853048,475.8555386366304,1205400
2024-01-04,478.41119384765625,482.24962831284193,476.5758712272014,478.8157610099226,1037600
2024-01-05,473.66497802734375,480.01958841140686,471.22772811190714,477.6415405090638,1044200
2024-01-08,473.6846923828125,478.2730590949427,462.46545943534335,475.2437589971106,815800
2024-01-09,476.8323974609375,477.5428517179955,471.582961680764,473.6846933330067,688000
2024-01-10,473.8722229003906,477.4047705658978,472.6289504132557,476.17134500644704,574100
2024-01-11,475.9147644042969,476.22065152214816,470.1620810677195,472.89534116084866,749600
2024-01-12,468.820068359375,470.98103212608413,463.462075507858,463.787686572341,1218800
2024-01-16,467.01434326171875,472.2341779713171,465.37635068618255,472.2341779713171,775600
2024-01-17,469.80682373046875,477.0100465541777,468.96808838698485,469.65881869642493,1111100
2024-01-18,463.1068420410156,464.10345944533987,443.06614764619275,448.6511017230541,2246100
2024-01-19,458.4494323730469,464.52775671248827,457.37388897503627,464.52775671248827,2008800
2024-01-22,465.5835876464844,468.3070007920262,458.6764048327758,460.0282343653904,1727100
2024-01-23,465.89935302734375,470.87253309791106,464.01467524109603,464.01467524109603,1581200
2024-01-24,467.38934326171875,490.4001067374547,466.8367409282167,483.00943070257557,2378900
2024-01-25,473.9412841796875,474.3162503537629,455.360975498819,465.5539906900576,2233600
2024-01-26,477.3849792480469,479.2499330026736,473.40841675907143,474.5629162423536,1272400
2024-01-29,480.07879638671875,480.82872871245166,474.55304423026513,477.375137378784,1256000
2024-01-30,485.8216247558594,486.2952408588115,480.23667067611484,483.25609378413935,1016200
2024-01-31,486.89715576171875,490.7059590197822,486.0386964840166,488.0615021357762,1018600
2024-02-01,488.8607482910156,490.40006077734176,481.92396506323666,484.28228887635765,997300
2024-02-02,488.55487060546875,490.93291843006097,484.07506104599605,489.40348295360707,1005200
2024-02-05,483.8283996582031,491.62367278893026,482.1016039847,489.26534881491256,916900
