Price,Close,High,Low,Open,Volume
Ticker,ERIE,ERIE,ERIE,ERIE,ERIE
Date,,,,,
2024-01-02,329.61712646484375,330.0303909995496,326.2323989431471,327.13762933824825,59800
2024-01-03,327.3049011230469,331.94906033299304,326.61616689229953,329.3908316955522,88700
2024-01-04,328.6430358886719,332.5689137529649,327.3048731659296,327.3048731659296,97100
2024-01-05,325.75396728515625,330.38629169367795,325.7342240980063,328.9442553326982,74600
2024-01-08,324.89471435546875,326.8009720755762,320.96364934988304,326.8009720755762,86300
2024-01-09,323.65020751953125,323.9959092729734,317.10173796343935,323.9662794165227,82600
2024-01-10,324.2625427246094,324.5588713991728,321.4969892823154,324.2131696833181,86800
2024-01-11,330.4752197265625,330.5048495818725,321.44763881558777,324.16381940734186,75500
2024-01-12,337.2409973144531,338.3274756203021,329.181344803258,331.84815245013493,85900
2024-01-16,333.300048828125,339.996667119571,333.1617560811322,336.70760261077356,108300
2024-01-17,334.2383728027344,337.55706741546675,331.18637703863607,331.18637703863607,54100
2024-01-18,338.4855041503906,339.5917256221838,332.8951069376098,335.90758612927056,79700
2024-01-19,335.85821533203125,341.59676186207867,332.2728520484431,340.53002676265555,117300
2024-01-22,337.9422302246094,341.0041124254576,336.1149755126296,337.8632273279218,66600
2024-01-23,334.3074951171875,340.15470418430806,331.6802041960566,338.6336346737011,100100
2024-01-24,334.3865051269531,337.73482942615055,332.1543190697616,334.8803561344614,113300
2024-01-25,333.3889465332031,336.10512707404797,329.69492050090827,334.54454101090766,147600
2024-01-26,340.9844055175781,341.88321804218066,334.1297505586639,335.1865688934534,104400
2024-01-29,338.4558410644531,343.6511328338472,338.0212497943069,340.7571733494018,134800
2024-01-30,340.60906982421875,342.26840209181796,335.1569350274277,338.4558865144334,91800
2024-01-31,341.5769958496094,345.7450998180842,334.22852013142403,341.14243466684746,1057900
2024-02-01,342.72271728515625,342.72271728515625,333.4284375782314,339.40405293709244,121800
2024-02-02,343.1178283691406,344.54009158507233,335.60140012201117,343.2462043156629,81900
2024-02-05,339.38427734375,342.307897031588,338.93982951917144,342.1004579045111,57200
2024-02-06,343.216552734375,344.05610544913105,339.5225569601755,340.7472977746646,91400
2024-02-07,345.69573974609375,346.31799690040094,341.81407767394825,343.7993384254564,84400
2024-02-08,345.87347412109375,346.0907697636404,343.81906725342094,345.6956949978117,92900
2024-02-09,350.3477478027344,350.68356284632114,345.1030528961717,345.89323253602697,75400
2024-02-12,350.84161376953125,353.05408671341763,348.3526156177156,349.64650280711726,78800
2024-02-13,345.1722412109375,352.0861556529117,344.90557250510886,350.43667994486833,78700
2024-02-14,347.49334716796875,349.88356928164325,345.70560884465624,345.70560884465624,105600
2024-02-15,351.1083068847656,353.360266168994,348.2933502439122,348.8563476005373,85700
2024-02-16,355.3850402832031,358.466665579689,349.4291986622679,351.49349214430777,117000
2024-02-20,351.1083068847656,358.4172954288561,349.7749031978064,355.829521092151,103900
2024-02-21,346.48583984375,350.6638300380118,345.54754105538,349.5378654635134,120900
2024-02-22,347.5229797363281,348.9254997975811,342.1202482018548,348.9254997975811,126000
