Price,Close,High,Low,Open,Volume
Ticker,GPN,GPN,GPN,GPN,GPN
Date,,,,,
2024-01-02,126.03167724609375,126.86415462966885,124.47573089346676,125.08027128153545,3553800
2024-01-03,124.38654327392578,126.34881576260285,123.96039196600456,125.39740977398628,2892800
2024-01-04,124.70368194580078,126.33891410426132,123.81173644472204,123.81173644472204,1313600
2024-01-05,126.24970245361328,127.25065626928762,124.51536710270365,124.51536710270365,1337100
2024-01-08,131.87887573242188,132.15636819644612,127.02272736758727,127.73628373856538,2253000
2024-01-09,130.1643524169922,131.86895764991218,129.80757422586464,130.47157514114545,1610800
2024-01-10,132.07708740234375,132.48340594697723,130.61032418383246,130.64006956242093,1875000
2024-01-11,130.8085479736328,133.51410719957056,129.57964191037394,131.93834309935892,2046000
2024-01-12,129.1039276123047,132.0275184618591,128.60840322688176,131.67074029946642,1494900
2024-01-16,127.74618530273438,128.99491647902946,127.0623743278641,128.1921693640996,1657900
2024-01-17,126.89388275146484,128.19216939289262,126.09114319745703,126.37854069807244,1462600
2024-01-18,126.2794418334961,128.00387226530822,125.01090052349818,127.44888733245979,1542700
2024-01-19,128.30117797851562,128.717416639337,126.5470174547512,127.32993931439529,2228700
2024-01-22,131.49232482910156,131.93830880988614,129.96611659430283,130.1841485024458,4434800
2024-01-23,130.64996337890625,132.45366430734146,129.9364070426317,131.80948864480123,2155400
2024-01-24,128.8462677001953,131.056317732185,127.84531371125667,130.818460541751,2391500
2024-01-25,130.20399475097656,130.60040821773453,128.3507232322618,130.60040821773453,1800800
2024-01-26,132.70143127441406,133.42490780277507,129.74811001779184,129.74811001779184,2349100
2024-01-29,134.16819763183594,134.723182566131,131.60136962741336,131.97797302805873,2043000
2024-01-30,134.72317504882812,134.9709372465427,133.67266575007105,133.86096743988685,1572100
2024-01-31,132.0374298095703,135.3475443551087,131.92841383468425,134.62406782986258,1325400
2024-02-01,134.09881591796875,134.26729240584925,130.56077942806814,132.34465523960517,1665000
2024-02-02,135.27816772460938,136.4674233175275,133.5041969408189,135.97189889362784,1455200
2024-02-05,134.87181091308594,135.19885879137726,132.85998330721736,133.93031769375182,1421700
2024-02-06,134.6438751220703,134.86190704282683,132.44374582876586,134.32673228380528,1273900
2024-02-07,135.78359985351562,136.44760077988687,134.07899459212456,135.2682653305504,1315400
2024-02-08,135.40699768066406,136.45750695262902,134.99075901378382,135.5060934838999,991000
2024-02-09,134.7826385498047,135.87279829283943,133.70239897310967,135.2484327016282,1522900
2024-02-12,136.5169677734375,137.09177787346383,134.34656855225995,134.78263242967333,1470400
2024-02-13,134.85202026367188,135.8926094274297,132.83027220142344,134.48532191698868,2322400
2024-02-14,137.7359619140625,138.0332795869744,130.2238099813668,130.8184453271906,3680700
2024-02-15,136.58636474609375,140.51090986676192,136.37823782623434,138.7468440592141,2690600
2024-02-16,132.9888458251953,136.25931001096447,132.4338608961591,136.10073856775264,1795800
2024-02-20,129.6291961669922,131.52210315184354,129.37151378069896,130.73916607039138,3789300
2024-02-21,131.27432250976562,132.29510150028887,129.72827377559295,129.97603596013167,9148900
2024-02-22,131.26441955566406,133.5141047204731,131.23468929939744,132.2059129559198,4017600
2024-02-23,131.90859985351562,133.85104701135523,130.82834518072252,131.264409067398,4092400
2024-02-26,132.13653564453125,133.3257911560226,130.887819625796,131.1157566109658,1551100
2024-02-27,132.0374298095703,132.53295421865155,131.09593645675693,132.25546175934244,1934500
2024-02-28,128.89581298828125,131.44281583050238,128.77689196356312,131.37343515127975,2569700
2024-02-29,128.53903198242188,129.97604978111076,128.3903807047733,129.4805253593418,3064000
2024-03-01,128.92555236816406,129.77785505743887,128.45975815878091,128.52913884291345,2280100
2024-03-04,127.39932250976562,129.47061081139213,126.65603593167154,128.90572087558678,2412700
2024-03-05,127.67681884765625,128.8066138759095,126.44791289042104,127.10200872841096,1810200
