Price,Close,High,Low,Open,Volume
Ticker,MAR,MAR,MAR,MAR,MAR
Date,,,,,
2024-01-02,219.65281677246094,224.94016466524468,218.4151408551418,223.27673548437508,1524700
2024-01-03,216.88043212890625,218.7914117111373,215.86058832323948,218.17752925562706,1299900
2024-01-04,217.85076904296875,220.21720479852112,216.722009207859,217.44480771505988,1238700
2024-01-05,220.22711181640625,221.19744555638053,216.84083214117612,217.04876835391673,1005100
2024-01-08,225.97982788085938,226.03923391082083,220.22711231823624,220.3063253943013,1690700
2024-01-09,224.24708557128906,225.23722637754847,223.20743470304677,223.3757719354586,1358300
2024-01-10,224.53421020507812,225.73227198839243,223.6628815565964,223.6628815565964,1225300
2024-01-11,224.74215698242188,226.68283961906843,223.16783671941232,225.11841532515993,1176000
2024-01-12,223.2767333984375,225.58376309976907,221.73211628538937,225.54414901010972,758900
2024-01-16,224.10845947265625,224.14807356434687,220.87071001518737,221.81134073012495,1108000
2024-01-17,225.45504760742188,225.65307273738063,222.80147762760697,223.01930980306628,1248700
2024-01-18,230.3859405517578,230.76219886831626,225.44514791948166,225.4550438878942,2209600
2024-01-19,231.36618041992188,231.79194878621365,229.27698289466755,230.3760396991065,1885100
2024-01-22,235.0396270751953,235.95055479484685,231.77215942552925,231.94048154790895,1552200
2024-01-23,234.7623748779297,235.56438645787782,233.41578287074864,234.63365174739772,1268600
2024-01-24,235.52476501464844,236.97037709377582,234.98019971276545,236.10895951381357,1239300
2024-01-25,240.1289520263672,241.12898879944274,238.98038506767568,239.31702931504572,1594300
2024-01-26,239.21803283691406,240.82205616203333,238.66354127584856,240.12896059613922,1119000
2024-01-29,239.74278259277344,240.1289368776546,237.4159458067274,239.1982021632362,1303000
2024-01-30,240.79232788085938,241.6042354276189,237.82190567439295,237.82190567439295,1059900
2024-01-31,237.36643981933594,241.5052360464597,236.9109835310736,241.0200616357595,1181200
2024-02-01,241.26760864257812,241.38642070475305,236.3664146693159,238.03975505057818,1190900
2024-02-02,242.7032928466797,244.31722708417684,239.22790429555164,240.82203148795253,1222300
2024-02-05,241.8220672607422,242.8716140215604,239.45563151055916,241.75276526569593,1338200
2024-02-06,242.3468475341797,243.32709232783256,240.43588311500628,241.82207413884456,1471500
2024-02-07,245.49549865722656,247.53518617396423,242.66369552306247,243.6736433129899,1046700
2024-02-08,247.1193389892578,247.9708606688846,243.38650399862476,247.22825507996646,1030900
2024-02-09,244.58457946777344,248.27780034323936,243.03005119267948,248.16888425321144,1479800
2024-02-12,246.38661193847656,246.68365717469914,243.57461593337936,243.85185412496085,1429900
2024-02-13,232.6236572265625,239.5150280008932,229.72253713479532,239.5150280008932,3110200
2024-02-14,233.06922912597656,234.07917691519486,229.91067773527874,233.485086425455,2349600
2024-02-15,238.1189727783203,238.48532004941382,234.5544597599646,235.18814928452227,1521700
2024-02-16,239.24771118164062,240.81213535953182,235.9505407135239,236.67333922139466,2119400
2024-02-20,240.5447998046875,241.56464358370778,238.13874989001363,238.8120534663823,2162200
2024-02-21,241.4676055908203,242.12248874459215,238.70911110984352,239.41361052364147,1396500
2024-02-22,247.38150024414062,248.49283181956548,242.88654254047609,243.09492478124685,1383600
2024-02-23,249.5347137451172,250.21937878657155,246.66706946854893,246.66706946854893,1477200
2024-02-26,247.29220581054688,249.5248013500236,245.138993262698,249.5248013500236,1476000
2024-02-27,247.10366821289062,247.8875657767449,245.7641048593842,246.9647517654776,1079300
2024-02-28,247.06398010253906,249.28664322349195,246.26023301959776,246.80598160403065,953400
2024-02-29,247.9371795654297,248.41347753011647,245.952650134842,247.76849638072068,1698200
2024-03-01,248.066162109375,249.21719273534416,246.02209935611486,247.0540479285568,1096600
2024-03-04,245.50611877441406,248.5523785284996,245.1092189692808,247.83794676665403,1156200
2024-03-05,245.9625701904297,247.26243448003723,243.78950814992243,245.61527150111533,1084000
2024-03-06,245.18861389160156,248.63177361839632,245.0596146353143,245.96257914780972,1314700
2024-03-07,245.0000762939453,247.04413911657392,244.3054940446187,246.47854098020673,1197400
2024-03-08,248.343994140625,249.16757561287008,244.31540210442526,245.25805048902873,1276400
2024-03-11,246.54800415039062,248.760750128527,245.079456675914,248.3440007833684,1176500
2024-03-12,248.75083923339844,250.37815273032444,246.7663098400371,246.7663098400371,1270900
2024-03-13,249.4652557373047,251.16201978581483,246.27016239854984,247.96692644706,1804700
2024-03-14,246.08163452148438,251.0429577981272,245.80380162925294,250.42775855686574,1711000
2024-03-15,242.1820526123047,245.0596141861886,241.47753801332547,244.245949864572,3709300
2024-03-18,246.59762573242188,247.43112444072167,244.5039466246579,244.69247933884046,1915300
2024-03-19,247.88755798339844,248.07607554550867,245.91294591226125,247.43110959010176,1164300
2024-03-20,252.0848388671875,252.71988764135247,247.33188268645847,247.50056586107573,1630400
2024-03-21,253.29539489746094,254.13881074370522,251.42001536306805,252.76949585781549,1530800
2024-03-22,253.18626403808594,254.5456618296397,251.26126810096855,253.93046256177,1282800
2024-03-25,250.15985107421875,253.69231094065145,250.09038527850151,253.33509504737412,856000
2024-03-26,250.2292938232422,252.33290519086006,249.22711197079113,251.20172408801417,1351400
2024-03-27,251.59861755371094,252.98779712233724,250.7849684290321,252.98779712233724,1302300
2024-03-28,250.35829162597656,253.12671848058943,249.70339332265343,253.09695175232537,999200
2024-04-01,249.38587951660156,252.54127387671915,248.790514662623,251.5589415506389,1178500
2024-04-02,245.8236541748047,248.23485004924345,244.6329244612101,248.23485004924345,1252300
2024-04-03,248.65159606933594,248.85997830865702,244.86115296337678,245.25805276876534,1071000
2024-04-04,246.96475219726562,252.85880673778752,246.14117070732078,251.38032693428306,1607300
2024-04-05,251.96575927734375,252.3626742280524,246.34955277682042,246.9746692204561,1293200
2024-04-08,252.7099609375,253.0771091640925,251.44979569772536,252.27337719739543,1205600
2024-04-09,252.96795654296875,253.51370513778784,249.40573002341085,253.48393840904836,1152800
2024-04-10,252.3825225830078,253.21602126447056,249.3164132735259,250.33844466310083,1317500
2024-04-11,256.5500183105469,258.55441232407446,251.05287870079465,252.14437589407484,1545200
2024-04-12,249.11795043945312,255.15093622288217,247.39141970900093,254.1288746048412,1930100
2024-04-15,246.48846435546875,255.02194636767712,246.290014454413,253.09695053184706,1433300
2024-04-16,243.7200469970703,246.81592310887285,242.84686437029924,246.29002403727245,1088900
2024-04-17,236.61544799804688,243.43230167006845,235.7025511464218,242.18205359359413,2684100
2024-04-18,234.4721221923828,239.37391161732145,234.25382277453693,238.78846401086795,1841200
2024-04-19,234.17445373535156,237.44893005725996,232.73567304351877,235.54378377596484,1842300
2024-04-22,235.5735626220703,237.2405600261731,233.68825063513592,236.7146609541104,1046400
2024-04-23,237.83592224121094,238.1236723348679,235.57355999472773,235.57355999472773,1196200
2024-04-24,242.172119140625,247.68910842461483,241.42792061906326,242.281268862751,2301300
2024-04-25,240.06851196289062,241.23937698290945,238.37173274861385,240.197511212497,1207400
2024-04-26,238.97702026367188,242.23164718056128,238.87780288080464,238.90756960974053,1065500
2024-04-29,238.62973022460938,242.35072264800436,237.73668295854043,239.60214533851132,1209100
2024-04-30,234.30345153808594,240.0486570743181,233.67831997718127,239.08615917355496,1862900
2024-05-01,232.05101013183594,235.40486947186906,229.02459994104484,231.94186041542196,2157100
2024-05-02,233.73785400390625,234.86903507736463,230.8305259032854,234.52175154104583,1413200
2024-05-03,232.77537536621094,236.9131174021269,232.48762526140248,235.5438023940357,1572800
2024-05-06,234.98812866210938,235.5239449270955,233.56918229725855,233.58903183026024,1067900
2024-05-07,234.16453552246094,236.42689766796838,233.83708637761686,234.9881169823857,897900
2024-05-08,233.5294952392578,234.45229411123182,232.65629748798648,233.72794514434023,1194500
2024-05-09,235.70254516601562,235.9010102144033,229.06430718235333,230.87022102477314,1229700
2024-05-10,238.59996032714844,238.80832742126694,235.66285035136272,236.1589826678919,1145300
2024-05-13,235.66285705566406,239.83036560491806,234.38284230453698,239.38384953549036,1288800
2024-05-14,234.04544067382812,236.73448433646507,233.86684031772793,236.12920233953238,2105300
2024-05-15,234.17445373535156,235.6330839592857,233.73785487366288,234.91865221120543,1569000
2024-05-16,237.11158752441406,237.6374866222307,233.81726133961106,233.81726133961106,1280800
2024-05-17,235.8910675048828,237.72676313644712,234.491985876118,237.11156390761784,1217000
2024-05-20,238.47097778320312,238.65951049921082,235.59340106132365,236.01016556026582,954100
2024-05-21,236.4368133544922,239.35407377106776,235.29571509339254,239.35407377106776,839700
2024-05-22,234.33322143554688,237.54814918481597,233.6783231381932,235.40486906555552,1091600
2024-05-23,230.88084411621094,235.2982858223847,230.66196077536412,235.2982858223847,1650400
2024-05-24,235.3878173828125,235.51716167499737,232.10458255575534,232.64184716848092,909200
2024-05-28,232.9502716064453,236.40264082547944,231.79616223232188,233.62682423933856,993800
2024-05-29,227.2991485595703,231.2589210079419,226.67234487733543,230.68186630038934,1161700
2024-05-30,227.79660034179688,228.43334772521624,225.5480742837416,227.62745079727077,934600
2024-05-31,229.99537658691406,230.2142599368556,226.2843337231426,228.35376664360865,1660100
2024-06-03,227.2195587158203,230.8211598870911,224.88149348066852,230.55252756233293,1644000
2024-06-04,229.33872985839844,230.52268567352215,225.28941818834969,225.44860884175003,1100600
2024-06-05,231.58724975585938,232.04490389529929,228.33386107927234,230.00531735049688,987800
2024-06-06,230.8509979248047,234.2536182512953,230.19434790181822,231.68672603701177,1028000
2024-06-07,229.9257354736328,231.71657712751195,228.96066304528944,230.34359953828832,2723400
2024-06-10,231.57728576660156,232.22399207118193,228.81141282048785,228.8313154464956,1219800
2024-06-11,231.45790100097656,232.05485833278473,228.76166446669222,230.6022702553878,1285100
2024-06-12,235.3579864501953,235.92509744729767,232.8308994042413,232.8308994042413,1477700
2024-06-13,239.2481231689453,239.54660184284916,233.46764741540653,234.02479951002388,1188700
2024-06-14,238.23329162597656,238.53177028719597,233.9451942429323,238.11390623399095,1566300
2024-06-17,243.45663452148438,243.8048621842821,236.39271994139514,237.33788979308764,1406900
2024-06-18,241.8150177001953,245.9439246532241,240.89969422471984,244.03368237641578,1320100
2024-06-20,242.74026489257812,243.1581289329482,241.42698007730857,241.44686752119176,1154400
2024-06-21,242.2925567626953,244.69031454213476,241.51652136888373,244.4415848599835,3299600
2024-06-24,244.4117431640625,245.0186442073118,241.99408271328866,241.99408271328866,1058600
2024-06-25,243.58595275878906,245.61558027383148,242.54128506345265,245.2773115515336,1283800
2024-06-26,240.28282165527344,242.02392946638236,238.45217480023732,241.43693104785262,1592600
2024-06-27,241.01907348632812,241.71551359327793,238.9794869592742,241.71551359327793,1153600
2024-06-28,240.54151916503906,245.53600054073377,239.7953300754675,241.16830767702515,6788900
2024-07-01,238.29298400878906,242.12342726335064,236.24345381570095,240.95937414925464,1475000
2024-07-02,238.76060485839844,238.89989288051433,235.47736984423165,238.59147048734744,1417300
2024-07-03,238.9496307373047,240.44200883964294,237.26821564633607,238.41238130021515,866700
2024-07-05,239.75552368164062,240.15350030293857,237.23838037929758,239.27796691733894,851900
2024-07-08,238.64122009277344,241.82495716472567,237.95472370294112,240.85988472992605,1040300
2024-07-09,236.3131103515625,239.63613539775764,236.18376605354257,239.63613539775764,1254900
2024-07-10,241.28770446777344,241.50658781177967,235.95493925074572,236.75087730338154,1376000
2024-07-11,238.56161499023438,241.70556186172362,238.03430927092668,241.70556186172362,1765400
2024-07-12,241.5563201904297,244.19286402551435,238.93969416264522,239.94455664969308,1699300
2024-07-15,245.41661071777344,245.59570399029332,240.76039816983482,241.5662799430353,1062300
2024-07-16,253.81373596191406,253.8933312877547,246.43144027932703,246.68016997960797,1562300
2024-07-17,246.29214477539062,254.03261159858158,246.23245207813684,251.96317873333498,1752900
2024-07-18,242.84971618652344,247.23731155623398,242.80992611592475,243.52626883674506,1399800
2024-07-19,242.67063903808594,244.4714395694565,241.41703168116084,243.75509684585802,1342500
2024-07-22,241.70556640625,242.7601778646941,239.92465332123132,242.3721601548655,1212700
2024-07-23,241.07876586914062,244.35205713941477,240.74049712924318,241.42699351278875,730900
2024-07-24,233.845703125,240.3823267897139,233.706415103197,240.0142116995037,1762500
2024-07-25,232.56227111816406,236.30316036694092,231.14948823408469,233.80591962681734,1380100
2024-07-26,235.39779663085938,236.53200346755048,232.81100165112218,234.40287782038448,929400
2024-07-29,237.23837280273438,238.30294315179486,234.50234624137053,236.730969705697,1335700
2024-07-30,237.5567626953125,240.3126768009997,236.84041995515938,237.78558976525545,1752800
2024-07-31,226.14503479003906,235.01970821353166,221.79722953161584,228.83131237734818,4316500
2024-08-01,217.66831970214844,225.33914983133556,214.51442913288625,225.0008659235677,3067900
2024-08-02,212.58428955078125,215.539199481416,208.9528421505931,214.02691871600987,3679000
2024-08-05,210.27609252929688,211.26105241628443,203.5106417149231,208.00767890054448,4057500
2024-08-06,214.15626525878906,217.30021221572954,210.11689748128273,211.42023864108094,1911700
2024-08-07,213.67869567871094,216.5341075194953,212.69372069018465,214.84274874810305,2854400
2024-08-08,214.70347595214844,216.70325723648372,213.6886545448898,214.3552483063349,1369600
