Price,Close,High,Low,Open,Volume
Ticker,RJF,RJF,RJF,RJF,RJF
Date,,,,,
2024-01-02,110.72866821289062,110.81740529541834,108.9538513359185,109.58489566492152,696100
2024-01-03,107.92839813232422,109.43698865648902,107.89881910599024,109.18063207983356,818800
2024-01-04,108.62846374511719,109.74265723231473,107.68189727987077,107.68189727987077,1244000
2024-01-05,110.47230529785156,110.81740649359361,107.9678447988864,108.63833034603174,984100
2024-01-08,110.88642120361328,110.92586241296598,109.6933528305997,110.74838073219958,700100
2024-01-09,109.18063354492188,109.77223664746458,108.60874728598588,109.7130710713612,688800
2024-01-10,109.3876953125,110.38355766106467,108.8256712312532,110.28495839679432,847400
2024-01-11,108.9834213256836,109.43698392937651,108.1946197411642,109.43698392937651,659100
2024-01-12,107.60301971435547,110.02859780146129,107.39595899599007,109.44685685785969,1180500
2024-01-16,107.7804946899414,107.83966026481825,105.2563174926784,106.42966901295681,1305200
2024-01-17,107.67204284667969,108.54958913874749,106.09443195771746,106.11415632531568,895700
2024-01-18,108.2044906616211,108.28337308871951,106.68603779186684,107.69176993076596,683900
2024-01-19,109.9595718383789,110.26523933089122,107.47483582468783,108.81580685513747,923900
2024-01-22,111.93158721923828,111.96117376831245,109.8609726198966,109.8609726198966,1068800
2024-01-23,111.8329849243164,112.66123525517814,111.22166500090836,112.29640971957173,948200
2024-01-24,110.9554443359375,113.80500596294807,110.36384122548552,112.97676311284363,2376500
2024-01-25,112.25697326660156,114.9487775526305,108.15518521484513,114.3571744470343,2534500
2024-01-26,111.63578796386719,114.82058847858235,111.60620893782361,112.76969827226652,2085000
2024-01-29,110.69908142089844,111.6850891231418,110.03845806582942,110.94558334645927,1627000
2024-01-30,111.90201568603516,112.31614465174778,110.23566773006762,110.24552239111071,2146500
2024-01-31,108.6383285522461,112.33585742266293,108.51015025955601,111.63579285924769,1392000
2024-02-01,108.9439926147461,109.63420254334407,106.73533739304503,108.35238947783499,1093600
2024-02-02,110.85684204101562,112.10906846519853,108.6777660047871,108.90454355498456,1116000
2024-02-05,110.84697723388672,111.52732491365579,109.24964966940811,110.08775466001794,985600
2024-02-06,109.79195404052734,111.24138653872775,108.99329022422982,110.51174295936161,778200
2024-02-07,109.48629760742188,110.19622436604627,108.85525327145395,109.80181977540585,795300
2024-02-08,110.53146362304688,110.59062920149113,108.62846842743808,109.59475930051401,804500
2024-02-09,113.2725601196289,113.35144253984546,110.40328166868633,110.40328166868633,949900
2024-02-12,115.3924789428711,116.21086713232279,113.56836621796242,113.56836621796242,1151100
2024-02-13,113.30215454101562,115.2150044669947,111.76397733049208,114.25857574268409,1380200
2024-02-14,115.05723571777344,115.1065315869594,113.36130134683478,114.23884755834398,985900
2024-02-15,116.78275299072266,117.3842182823003,115.57982240756738,115.57982240756738,1085000
2024-02-16,116.83204650878906,117.5616975996221,116.22072656894274,116.44750411996911,737100
2024-02-20,114.82058715820312,116.67428634379232,114.5642305870125,115.47135581424392,1149500
2024-02-21,115.19528198242188,115.26430222086731,114.0416547729875,114.61353352468886,713800
2024-02-22,116.8024673461914,117.33491238916172,115.97422451666525,116.28974666924304,824500
2024-02-23,116.92079162597656,118.40965779534693,116.84190920673214,116.9799496790891,718800
2024-02-26,116.98981475830078,117.9265190614319,116.56583114766799,116.56583114766799,812200
2024-02-27,118.03498840332031,118.08429180052607,116.77289967033187,117.53212233786196,523100
2024-02-28,118.74491119384766,119.20833603044956,117.57155958820813,117.65044201202163,706600
2024-02-29,118.63644409179688,119.73091322149965,117.74903567276196,119.3069296169964,971800
2024-03-01,118.38993835449219,118.84350097123456,117.61099140748637,118.77448073657033,966600
2024-03-04,119.17874908447266,120.28307285392751,118.43924333629494,118.49840138890389,803400
2024-03-05,119.79007720947266,120.38168034392268,118.50827167193796,118.50827167193796,808700
2024-03-06,119.48441314697266,120.31265600244144,118.37022715636105,120.29293915844342,893700
2024-03-07,119.23790740966797,120.68733988303245,119.20832838329588,119.76049026928558,967600
2024-03-08,118.51811981201172,120.53943855969722,118.2025976561558,119.42525259240885,794600
2024-03-11,117.15743255615234,118.45896239639562,116.54610508473444,117.80820123759479,956200
2024-03-12,117.2757568359375,117.83778091727797,116.63485033411095,117.49267973095341,862500
2024-03-13,118.3209228515625,118.9716915381141,117.76876095216721,117.76876095216721,844600
2024-03-14,118.3209228515625,119.14916570065543,117.17715031979606,118.29134382447228,959100
2024-03-15,119.07028198242188,119.69146407322711,117.20672818736503,117.20672818736503,1343200
2024-03-18,119.26748657226562,119.72104919665257,118.91252321011208,119.18860415342228,936700
2024-03-19,120.48028564453125,120.92398610921848,118.88295043090179,119.39567113504351,1027800
2024-03-20,120.98313903808594,121.27894435043632,119.58300994126286,119.80979501708369,791400
2024-03-21,124.33556365966797,124.65108580802911,121.69306284615291,122.26494909088291,1429300
2024-03-22,123.83270263671875,124.81871033038533,123.79326894889678,124.61164961743235,1064200
2024-03-25,124.6905288696289,125.46947583054732,123.5664807292255,123.5664807292255,1275500
2024-03-26,123.6453628540039,125.4596133490613,123.48759801653378,124.85814807082909,850400
2024-03-27,125.61738586425781,125.65682707603598,123.74396967932529,124.36515183888713,682900
2024-03-28,127.07194519042969,127.36879904414005,125.90433160810643,125.90433160810643,1019700
2024-04-01,127.1708984375,127.26983965393852,125.36010658206149,126.85425030822353,764200
2024-04-02,127.35891723632812,128.07134539071848,126.07256052403406,127.0026956098254,952200
2024-04-03,128.2494659423828,128.6353714527966,127.10163900421324,127.26985267812536,734300
2024-04-04,126.07254791259766,129.8128670674129,126.02306975580213,129.32800528859846,823000
2024-04-05,126.94330596923828,128.28903036422795,126.50792987625256,126.53761375198941,739300
2024-04-08,128.62547302246094,128.9421060637719,127.19068189901918,127.69533798469831,687400
2024-04-09,126.72562408447266,129.33791073320276,125.78559194502455,128.9223062925881,617600
2024-04-10,125.79548645019531,126.67615087498423,124.44976205746441,125.36011035794036,977800
2024-04-11,123.1930923461914,125.9933869398702,123.16340847158745,125.48873842368229,1562200
2024-04-12,121.26356506347656,122.95561386049584,120.7984975629676,121.99579498485936,1381900
2024-04-15,121.23387908935547,124.6773521367318,121.02608440837778,122.87645735228463,1413900
2024-04-16,120.59071350097656,121.72863572443946,119.79910821140388,121.3625245061908,752800
2024-04-17,120.65996551513672,122.72802260065154,120.59070062589237,122.1442196126358,1149400
2024-04-18,120.67975616455078,122.14422357663854,120.18500478266137,121.1151397963917,1049100
2024-04-19,122.30253601074219,122.52022781939608,121.00628984923885,121.29324654707294,3039900
2024-04-22,124.16281127929688,124.9049383590562,121.7088410805309,123.13372748944708,810000
