Price,Close,High,Low,Open,Volume
Ticker,RVTY,RVTY,RVTY,RVTY,RVTY
Date,,,,,
2024-01-02,110.14501190185547,111.27209295395026,107.86092082697573,108.60898529041954,622200
2024-01-03,104.74897003173828,109.5266093232141,104.36995344268138,109.5266093232141,706200
2024-01-04,107.44200134277344,107.83099423612141,105.30752478604693,105.41724151080712,756600
2024-01-05,107.08293914794922,108.82842296355608,105.46711710486488,106.3248983315967,453900
2024-01-08,108.72868347167969,109.49669300876415,106.19523745617539,106.5443327003047,624500
2024-01-09,110.97286987304688,114.70321580413344,109.54656001561597,111.05265763109995,1038300
2024-01-10,111.39178466796875,112.0201560702107,108.24991243734864,109.45678884402584,806500
2024-01-11,110.54398345947266,111.7907575913993,109.4867138209992,110.83323597124428,718100
2024-01-12,110.51405334472656,111.95033185634766,109.98541476250732,111.4815436023202,393700
2024-01-16,107.91079711914062,109.16753996533883,107.66144229271481,108.72868064542907,788900
2024-01-17,105.47708129882812,108.09032236459065,104.9484503358761,107.15274587349558,908300
2024-01-18,105.71662139892578,106.43524014677007,104.72852442801256,105.68668022022317,607900
2024-01-19,106.22564697265625,106.57497342428032,104.58879650097872,106.06595052920208,627900
2024-01-22,106.5051040649414,107.77266978850868,106.47516288662403,107.58303217283833,629900
2024-01-23,107.28360748291016,107.7926303695618,105.56690881792453,107.5830345020571,1467400
2024-01-24,106.70472717285156,108.69090406794545,105.78648786552202,108.02219235365564,727400
2024-01-25,108.48130798339844,109.1200785173771,107.03408754333317,107.79263040796236,812400
2024-01-26,109.78878784179688,111.45557942967439,109.75884666347199,110.44752422392537,972400
2024-01-29,109.86863708496094,110.60721407792757,108.7208436784178,109.93850237328554,771400
2024-01-30,110.9665298461914,111.78495510576882,109.4095275510797,109.4095275510797,990200
2024-01-31,106.97421264648438,111.1162460897439,106.79455794535096,111.1162460897439,1521000
2024-02-01,109.05021667480469,109.78879370029608,101.96385060437107,108.29167378620113,1428700
2024-02-02,105.41720581054688,108.58111738699851,103.9899511943777,108.58111738699851,1366500
2024-02-05,103.70050811767578,105.58687861017113,103.28131636706475,104.87824276087751,1160400
2024-02-06,104.0198974609375,105.64676509839887,102.89206220221784,103.57075689795097,1086700
2024-02-07,102.70242309570312,104.27939116313463,102.18341728413931,104.27939116313463,880200
2024-02-08,103.05175018310547,103.26134604936945,100.5365921731922,101.9039567694971,774500
2024-02-09,103.5607681274414,104.06978337205717,102.66249473290624,102.98187998265819,612400
2024-02-12,104.6885986328125,105.4571244092858,103.23140291302956,103.56077110294669,694200
2024-02-13,101.1553955078125,103.64061230618798,99.96768561463449,102.70242238595215,949100
2024-02-14,103.36116027832031,103.4410085042487,101.72430972051791,101.8440820594105,660700
2024-02-15,103.87017059326172,105.6168103460362,102.97189719745727,103.64060887526641,724200
2024-02-16,102.26326751708984,104.14963795353117,102.15347811689523,103.46096798791869,466600
2024-02-20,101.78419494628906,102.41298256294647,100.8060732611875,101.10550028706946,602800
2024-02-21,103.57075500488281,103.72046852314186,101.00568978983013,101.00568978983013,568300
2024-02-22,104.16960144042969,104.6386925949547,102.53275102089839,103.31125212107239,494500
2024-02-23,104.23947143554688,105.60683608076529,104.14964028122293,104.92814141655077,402800
2024-02-26,103.76039123535156,104.69858883001723,103.56077829019729,103.71049180643587,489200
2024-02-27,105.42717742919922,105.92621738077787,103.95002343678378,104.5688281033043,593900
2024-02-28,107.14388275146484,107.17382393206435,105.39724281219866,105.64676280352239,885900
2024-02-29,109.37957763671875,110.96652871066661,107.76269299749325,108.07209534406194,1740300
2024-03-01,106.91432189941406,108.88053291099537,105.66672202126216,108.53120646806191,1186900
2024-03-04,108.30165100097656,108.930438590397,106.62487648111015,106.71470001613653,1007300
2024-03-05,106.80453491210938,109.28975179336398,106.49512495731582,108.05213481842631,578800
2024-03-06,107.10395812988281,108.69090922682484,106.2456087546303,107.49320870531758,689300
2024-03-07,108.28169250488281,108.5511783577845,107.40338488320327,107.8026183893288,575400
2024-03-08,109.12008666992188,110.5373584221522,108.2118302278085,108.5711396318593,649800
2024-03-11,109.0302505493164,110.29781633779069,108.67094116161863,109.34963582563158,570000
