Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2024-01-02,138.97698974609375,140.04528750869326,137.50078003835264,138.09320523020494,3601500
2024-01-03,134.6746063232422,138.8507166991772,134.34440603795065,138.25829156655448,4662100
2024-01-04,136.2091064453125,136.86950712094546,133.73257427338558,134.85915582268473,3903000
2024-01-05,136.6947021484375,137.86012470914088,135.30591051156102,135.30591051156102,2744200
2024-01-08,137.64645385742188,137.8989721900646,135.53897793957435,136.1605375889895,3563300
2024-01-09,139.627685546875,139.82192015889166,136.48103148326157,136.93749097203374,3664400
2024-01-10,139.9384765625,140.24926383835643,138.8021883710618,139.24894137531714,2777400
2024-01-11,137.9281005859375,140.3366422692941,136.92777830062266,140.3366422692941,3215300
2024-01-12,136.85008239746094,139.02553367967644,136.61699198044482,138.5885021145278,2236400
2024-01-16,137.0054931640625,138.3554438409548,135.88861811422066,138.09321894137074,3482400
2024-01-17,134.7426300048828,136.69471257244322,134.40270827331145,136.04401838325643,3566300
2024-01-18,133.4412078857422,135.11165221362543,131.76105701401866,134.63577963988664,4160700
2024-01-19,134.15989685058594,134.6066498081339,131.88732070530415,133.26640575464143,3515300
2024-01-22,136.31593322753906,136.70440245700246,133.93652585398547,134.41239843720547,2778700
2024-01-23,136.82095336914062,137.62704108838437,135.8206310375956,136.78209755518975,2806800
2024-01-24,135.18936157226562,137.71445620534212,134.95628594525397,137.5202215764483,2845900
2024-01-25,138.08349609375,138.1806208167456,135.00483205993677,136.23824491005067,2566500
2024-01-26,138.4234161376953,138.87987565580246,137.5590594623938,138.773044389455,3014800
2024-01-29,137.44253540039062,138.86046163831324,132.42149501809115,138.61766462861314,4879000
2024-01-30,136.47134399414062,137.13174473103575,133.8685524084201,136.5684539041324,2879500
2024-01-31,135.07281494140625,137.37452552280794,134.95627713550783,136.48103443290032,5804400
2024-02-01,140.2589569091797,140.3075192687611,134.5095262305476,136.87922711426555,3613900
2024-02-02,141.29815673828125,142.80348638186018,138.46228937026115,139.35578061066582,3775800
2024-02-05,138.22918701171875,140.71542587017416,137.42309920978707,140.06473170168408,4697400
2024-02-06,140.26866149902344,140.30751731380778,137.38424706521704,138.5496695831749,2873200
2024-02-07,142.50238037109375,144.7069808052061,141.0747331333225,144.7069808052061,3979600
2024-02-08,143.15310668945312,144.79441679676538,142.61896513948776,142.77434395846976,2946900
2024-02-09,142.30816650390625,143.3182102520069,142.08479742888758,142.8423228303872,2792400
2024-02-12,145.09547424316406,146.0666621961147,143.2502230602187,143.26965096864032,3492600
2024-02-13,141.9002685546875,143.6095539706859,140.42405875682647,142.97828774602814,3061800
2024-02-14,140.8513946533203,141.88085156370923,139.59856865197884,140.52119428945082,2986400
2024-02-15,142.1139373779297,143.9883230461709,141.23985931374867,141.5894875755906,2807600
2024-02-16,145.29942321777344,145.9598238806987,140.94850554800587,141.53120940014853,4318400
2024-02-20,146.64959716796875,148.8216052142307,145.98430493775624,146.757219726258,3474400
2024-02-21,145.5733642578125,146.61046109863344,144.6634767071877,146.08212677401883,2307600
2024-02-22,147.08985900878906,147.71602252004473,144.79067163056203,145.57336482294485,2503800
2024-02-23,148.20523071289062,149.47712969392686,147.15837023368124,147.71603994548573,3503600
2024-02-26,146.90396118164062,147.6866692871211,145.8766726551701,147.3540231941894,3856900
2024-02-27,148.70420837402344,149.01728268849098,147.19749251584065,147.53013864024894,2851700
2024-02-28,148.1660919189453,148.9585785194864,147.39316219894656,148.05846936029673,2298300
