date,open,high,low,close,volume,macd,macd_signal
2025-01-13,345.13,350.91,344.37,349.14,2711293.0,0.0,0.0
2025-01-10,355.03,358.0,348.74,349.79,2830056.0,0.051851851851893116,0.010370370370378624
2025-01-08,361.0,363.5975,355.345,357.73,2217337.0,0.7252759312019066,0.15335148253668424
2025-01-07,355.35,363.22,353.81,356.39,4663137.0,1.1377275497102914,0.3502266959714057
2025-01-06,352.81,354.49,349.65,351.33,2356428.0,1.0442611248982416,0.4890335817567729
2025-01-03,350.0,354.82,349.09,353.85,2029853.0,1.1601576738358403,0.6232584001725865
2025-01-02,353.1,354.81,346.11,348.82,2255167.0,0.8364850819910998,0.6659037365362892
2024-12-31,354.98,355.08,350.4318,351.79,1748650.0,0.8102859279019867,0.6947801748094288
2024-12-30,352.61,354.63,349.2301,352.49,1490172.0,0.8363659532976726,0.7230973305070776
2024-12-27,358.78,360.43,354.0,356.18,1195720.0,1.1416267600516221,0.8068032164159865
2024-12-26,360.35,361.95,359.07,360.43,910457.0,1.7068125572513964,0.9868050845830686
2024-12-24,359.95,361.95,358.54,361.63,1075396.0,2.2258975828950724,1.2346235842454694
2024-12-23,360.58,362.96,355.73,358.77,3549390.0,2.379073627682658,1.463513592932907
2024-12-20,370.7,372.07,362.0,366.37,7013200.0,3.0782392054770753,1.7864587154417408
2024-12-19,365.0,376.91,363.1934,372.16,6075459.0,4.0528191971339425,2.2397308117801815
2024-12-18,357.3,359.4,347.12,347.61,3232909.0,2.8117884874960737,2.35414234692336
2024-12-17,357.36,358.4799,353.02,357.3,2479098.0,2.5804192592897834,2.399397729396645
2024-12-16,359.55,361.02,356.45,357.06,2306717.0,2.3505952855180112,2.3896372406209183
2024-12-13,359.58,360.7626,356.25,358.68,1808745.0,2.272977126175249,2.3663052177317847
2024-12-12,361.31,362.0,355.4,360.18,1834173.0,2.305920424397584,2.3542282590649446
2024-12-11,363.85,366.59,363.43,363.84,1541560.0,2.5974182173136455,2.402866250714685
2024-12-10,358.52,366.35,357.0897,362.9,2157906.0,2.721213716409636,2.4665357438536755
2024-12-09,360.45,366.0,358.1,359.5,2185184.0,2.515968438306345,2.4764222827442097
2024-12-06,365.3,371.88,361.55,362.7,2332307.0,2.581762383515354,2.4974903028984388
2024-12-05,356.07,358.9,354.89,358.13,1821291.0,2.2393301481831713,2.4458582719553856
2024-12-04,353.67,362.11,353.105,360.03,2074025.0,2.0970903039978452,2.3761046783638777
2024-12-03,348.8,354.335,346.62,352.54,3044981.0,1.3642574881375822,2.1737352403186185
2024-12-02,362.77,363.36,356.96,361.38,2445661.0,1.4797388148779191,2.0349359552304787
2024-11-29,360.15,365.0,360.0,362.37,1311278.0,1.6323268763995316,1.9544141394642893
2024-11-27,364.08,365.67,360.88,362.16,1657040.0,1.7165217750115858,1.9068356665737487
2024-11-26,361.99,364.53,360.62,363.18,2106328.0,1.8442924588243272,1.8943270250238644
2024-11-25,360.0,364.15,358.5,361.29,3054821.0,1.7726108867821608,1.8699837973755238
2024-11-22,358.24,364.64,357.28,358.66,2211127.0,1.4864488472986181,1.7932768073601428
2024-11-21,359.52,363.5,358.31,361.05,2240117.0,1.4359635018651602,1.7218141462611465
2024-11-20,353.71,357.33,351.65,357.07,1792718.0,1.0625523223731648,1.5899617814835503
2024-11-19,351.25,353.97,349.99,353.95,2447247.0,0.5089959586986197,1.3737686169265642
2024-11-18,353.57,355.4999,351.82,352.79,1760084.0,-0.02303818331080265,1.0944072568790908
2024-11-15,360.28,360.31,348.85,353.57,3624539.0,-0.37738928393571314,0.80004794871613
2024-11-14,371.38,372.0,361.025,362.07,3503239.0,0.027348620519831,0.6455080830768702
2024-11-13,359.54,370.64,359.04,370.22,3353988.0,0.9942817522668292,0.715262816914862
2024-11-12,357.64,362.13,356.95,360.61,3233662.0,0.9739099124416271,0.766992236020215
2024-11-11,355.0,360.64,354.1,357.3,2985383.0,0.6828047967673001,0.7501547481696321
2024-11-08,360.77,362.76,355.12,355.53,2289531.0,0.3057531557487323,0.6612744296854522
2024-11-07,358.0,362.0,356.29,360.71,2250537.0,0.4200773326629701,0.6130350102809559
2024-11-06,355.9,357.23,353.0,356.13,3009729.0,0.13950422531473805,0.5183288532877123
2024-11-05,342.79,347.4199,342.21,345.49,1554297.0,-0.9306827303035448,0.2285265365694609
2024-11-04,345.26,346.6751,341.58,343.9,1931315.0,-1.8853798296591435,-0.19425473667626
2024-11-01,346.94,347.9499,344.83,345.67,2579809.0,-2.4706794963376524,-0.6495396886085385
2024-10-31,344.63,347.86,342.62,344.82,3078198.0,-2.9688979873668586,-1.1134113483602026
2024-10-30,358.0,358.83,345.34,346.57,3916762.0,-3.1858053750692648,-1.527890153702015
2024-10-29,360.91,365.08,359.05,363.04,2643029.0,-2.005595432385178,-1.6234312094386478
2024-10-28,364.0,366.99,360.39,361.32,2717787.0,-1.19528171167957,-1.5378013098868324
2024-10-25,364.0,365.445,359.5911,360.8,2129390.0,-0.5882805719623434,-1.3478971623019347
2024-10-24,367.5,373.44,363.75,364.23,2311975.0,0.16761240726867754,-1.0447952483878122
2024-10-23,370.84,372.48,368.225,370.63,2211832.0,1.2684674490334942,-0.582142708903551
2024-10-22,374.62,374.86,371.13,371.79,1740279.0,2.209040858404421,-0.02390599544195658
2024-10-21,375.0,377.34,374.21,376.03,1785135.0,3.2590167106647527,0.6326785457793853
2024-10-18,375.51,377.33,373.65,376.86,1893296.0,4.110718398781444,1.328286516379797
2024-10-17,373.0,375.51,371.78,375.15,1906904.0,4.594749996037706,1.981579212311379
2024-10-16,365.69,372.87,364.88,372.26,2110724.0,4.691073897067099,2.523478149262523
2024-10-15,365.43,371.0,365.43,368.66,2956109.0,4.425902322123534,2.903962983834725
2024-10-14,361.58,365.62,361.1601,364.6,2255799.0,3.843834537513999,3.09193729457058
2024-10-11,362.52,363.4,360.06,360.74,1436631.0,3.0360739138168356,3.080764618419831
2024-10-10,363.56,364.47,358.9101,361.07,2088152.0,2.3949386797086163,2.9435994306775886
2024-10-09,360.98,366.46,360.77,365.08,2046441.0,2.185218041251119,2.791923152792295
2024-10-08,359.53,360.65,357.52,360.38,2348284.0,1.6210754550949105,2.5577536132528182
2024-10-07,360.0,362.0,355.85,356.8,1536791.0,0.8750255604700783,2.22120800269627
2024-10-04,364.2,367.79,359.8232,362.24,2131552.0,0.714501847468,1.9198667716506161
2024-10-03,359.55,364.45,359.325,361.24,3646268.0,0.5008208546889819,1.6360575882582893
2024-10-02,352.71,357.19,351.34,356.29,2421257.0,-0.067172183581647,1.2954116338903021
2024-10-01,354.99,354.99,349.9,351.98,1827309.0,-0.8552331430975642,0.8652826784927289
2024-09-30,348.5,354.06,347.72,353.48,2425021.0,-1.3432554544778554,0.42357505189861205
2024-09-27,356.33,358.34,349.3,349.7,2575382.0,-2.0118398243116644,-0.06350792334344323
2024-09-26,355.01,363.99,349.7,355.81,4454991.0,-2.025325130314684,-0.4558713647376914
2024-09-25,335.14,339.75,334.16,337.05,3552701.0,-3.5093341292593436,-1.0665639176420219
2024-09-24,337.94,340.62,335.28,339.62,2842859.0,-4.427012585648924,-1.7386536512434025
2024-09-23,337.38,339.44,334.05,339.21,1998526.0,-5.128247700077793,-2.416572461010281
2024-09-20,332.32,336.35,331.87,336.22,5231021.0,-5.857725380042552,-3.104803044816735
2024-09-19,340.0,340.38,332.23,335.24,2645896.0,-6.4406754098720285,-3.771977517827794
2024-09-18,335.0,339.0,332.96,336.18,2150899.0,-6.749018875865261,-4.367385789435287
2024-09-17,355.1,355.28,336.31,337.04,4528964.0,-6.845082629838657,-4.862925157515962
2024-09-16,350.84,354.98,349.63,354.12,2536398.0,-5.479832492583228,-4.986306624529415
2024-09-13,351.1,351.4299,348.7945,349.58,1812013.0,-4.709909080288128,-4.931027115681157
2024-09-12,350.48,352.42,345.2,349.89,2182279.0,-4.028289209341381,-4.750479534413202
2024-09-11,346.36,350.72,342.24,350.31,2121785.0,-3.4148458436783358,-4.483352796266229
2024-09-10,343.81,348.0,342.22,347.7,1655717.0,-3.103517328202429,-4.207385702653469
2024-09-09,340.63,342.25,339.09,341.81,1569422.0,-3.294088806639195,-4.024726323450614
2024-09-06,340.7,342.4432,336.76,339.84,1613563.0,-3.563008468586645,-3.9323827524778205
2024-09-05,344.22,344.45,339.5,340.93,1195275.0,-3.6461448593593673,-3.87513517385413
2024-09-04,340.0,344.91,338.98,343.99,1476582.0,-3.4256261357840003,-3.7852333662401043
2024-09-03,341.36,345.54,339.67,341.88,2049328.0,-3.382135669896911,-3.7046138269714657
2024-08-30,341.0,343.45,338.64,341.95,2004144.0,-3.3039350408412247,-3.6244780697454178
2024-08-29,340.25,343.87,338.97,340.21,1612584.0,-3.3438184791498884,-3.568346151626312
2024-08-28,340.56,343.6,335.11,337.39,1527981.0,-3.5619172586891636,-3.5670603730388826
2024-08-27,335.18,340.99,335.0,340.38,2154150.0,-3.453682202673633,-3.544384738965833
2024-08-26,333.08,337.21,331.77,336.78,1692174.0,-3.616703942801905,-3.5588485797330476
