date,open,high,low,close,volume,macd,macd_signal
2025-01-13,88.95,90.155,88.5,89.61,1530003.0,0.0,0.0
2025-01-10,92.35,92.64,88.82,88.93,2434328.0,-0.05424501424501216,-0.010849002849002433
2025-01-08,92.31,94.29,91.5,93.36,1792333.0,0.257263820910552,0.04277356190290846
2025-01-07,93.42,94.92,92.27,92.54,1298451.0,0.4329785627457028,0.12081456207146733
2025-01-06,93.98,95.1,93.11,93.39,1519919.0,0.6335188469442272,0.22335541904601933
2025-01-03,96.0,96.0,91.8187,93.56,2324625.0,0.7969789687870161,0.3380801289942187
2025-01-02,96.67,97.23,95.06,95.42,1010130.0,1.0643397027802308,0.48333204375142114
2024-12-31,95.81,96.65,95.41,95.65,932145.0,1.2800287142816842,0.6426713778574737
2024-12-30,96.24,96.44,95.22,95.56,1087688.0,1.4272491225602408,0.7995869267980272
2024-12-27,97.51,97.68,96.13,96.97,724927.0,1.638806432492899,0.9674308279370016
2024-12-26,96.72,98.11,96.5,97.96,946913.0,1.8648549638362368,1.1469156551168487
2024-12-24,96.13,97.17,96.05,96.91,541735.0,1.9369459218535354,1.3049217084641862
2024-12-23,95.73,96.71,95.4,96.6,1365656.0,1.946624639139415,1.4332622945992322
2024-12-20,94.25,96.32,93.93,95.89,3036081.0,1.8753857465384414,1.521686984987074
2024-12-19,94.72,95.78,94.26,94.58,1518925.0,1.6936984575030465,1.5560892794902685
2024-12-18,97.75,97.8,93.969,94.12,1973210.0,1.495354302760191,1.5439422841442532
2024-12-17,97.06,98.53,97.02,97.36,1552635.0,1.581376924511389,1.5514292122176805
2024-12-16,98.41,99.83,97.2,97.3,1525910.0,1.6259658512451125,1.566336540023167
2024-12-13,99.72,100.25,98.8101,99.24,1564643.0,1.7971285049396784,1.6124949330064693
2024-12-12,99.19,100.39,99.005,100.0,1269983.0,1.9713769828492218,1.6842713429750198
2024-12-11,99.29,100.145,98.5345,100.02,1371876.0,2.087026052631913,1.7648222849063986
2024-12-10,99.12,99.6,97.76,98.78,1272852.0,2.054933146591196,1.8228444572433582
2024-12-09,97.75,100.32,97.68,99.12,1344970.0,2.0334935974528605,1.8649742852852587
2024-12-06,98.08,99.22,97.785,98.06,1467702.0,1.908964109125634,1.8737722500533338
2024-12-05,98.67,98.84,97.21,97.4,1523535.0,1.7369941213008815,1.8464166243028435
2024-12-04,97.53,99.03,97.22,98.3,1529847.0,1.6542598673492819,1.8079852729121313
2024-12-03,97.06,98.18,96.79,97.53,1853800.0,1.5091631171894875,1.7482208417676026
2024-12-02,95.5,98.7,95.35,97.93,3159595.0,1.4101937190051643,1.680615417215115
2024-11-29,93.76,94.86,93.68,94.02,830767.0,1.0046741766213785,1.545427169096368
2024-11-27,93.38,94.53,93.12,93.86,1540881.0,0.6627466243078999,1.3688910601386743
2024-11-26,94.66,94.9,92.83,93.1,1678625.0,0.32667521865708693,1.1604478918423569
2024-11-25,93.82,94.9,93.05,94.64,2929394.0,0.1824976191453942,0.9648578373029644
2024-11-22,90.96,93.2,90.735,92.9,2730112.0,-0.07134520234262709,0.7576172293738461
2024-11-21,88.42,91.2,88.0,91.08,2083308.0,-0.4145970402339003,0.5231743754522968
2024-11-20,87.09,88.19,86.56,87.96,1517066.0,-0.9276906791489097,0.23300136453205553
2024-11-19,84.85,87.42,84.7,87.36,2370574.0,-1.3669783942059723,-0.08699458721555005
2024-11-18,87.43,88.18,85.59,85.96,2426016.0,-1.8072524912540189,-0.4310461680232438
2024-11-15,88.86,89.56,86.78,87.43,2616717.0,-2.0143361571320924,-0.7477041658450135
2024-11-14,88.74,89.54,88.24,88.35,2428248.0,-2.080235483308556,-1.014210429337722
2024-11-13,89.21,90.16,88.5026,88.75,2402850.0,-2.076250790332182,-1.2266185015366142
2024-11-12,91.5,91.5,89.74,90.08,2849058.0,-1.9433710361161474,-1.369969008452521
2024-11-11,91.65,92.18,89.77,91.07,3312717.0,-1.7381419291250495,-1.4436035925870268
2024-11-08,97.91,98.3,89.27,89.37,9015282.0,-1.6931545441134972,-1.4935137828923208
2024-11-07,104.74,104.99,103.19,104.4,2610953.0,-0.43963844994075885,-1.2827387163020085
2024-11-06,103.35,105.26,102.8226,104.71,2179390.0,0.5722005235557219,-0.9117508683304625
2024-11-05,99.8,101.37,98.93,100.96,2436777.0,1.0592857532346756,-0.517543544017435
2024-11-04,100.5,101.0563,99.84,100.04,1748731.0,1.3554432892710508,-0.14294617735973783
2024-11-01,101.16,101.87,100.22,100.57,1373284.0,1.614308101957434,0.20850467850369653
2024-10-31,101.72,101.97,100.54,101.08,1954303.0,1.8394095010483937,0.534685643012636
2024-10-30,102.96,104.13,101.65,101.85,2246992.0,2.0562335658512865,0.8389952275803662
2024-10-29,102.84,103.85,102.28,102.96,1106945.0,2.2912241172968493,1.1294410055236628
2024-10-28,102.94,103.235,102.24,102.85,930729.0,2.440447778773617,1.3916423601736536
2024-10-25,103.35,103.71,101.57,101.97,898241.0,2.4593501029645495,1.605183908731833
2024-10-24,102.68,104.17,102.68,102.8,1188075.0,2.512343660630208,1.786615859111508
