date,open,high,low,close,volume,macd,macd_signal
2025-01-13,67.58,68.78,67.38,68.63,1039823.0,0.0,0.0
2025-01-10,67.88,68.88,67.2,67.58,1343716.0,-0.0837606837606728,-0.01675213675213456
2025-01-08,67.87,68.7594,67.285,68.68,977734.0,-0.06068132563858342,-0.025537974529424332
2025-01-07,68.72,69.3275,67.96,68.3,943923.0,-0.07222107268664502,-0.03487459416086847
2025-01-06,68.87,69.54,68.39,68.9,1531321.0,-0.032575905015619355,-0.03441485633181865
2025-01-03,67.46,68.78,67.165,68.6,932791.0,-0.025075264760360483,-0.03254693801752702
2025-01-02,68.51,69.315,67.29,67.33,815292.0,-0.12022347806738765,-0.050082246027499146
2024-12-31,68.35,68.675,67.675,68.21,791954.0,-0.12320030070887356,-0.06470585696377402
2024-12-30,68.15,68.23,67.385,68.02,838903.0,-0.13928527228600274,-0.07962174002821977
2024-12-27,68.6,69.07,68.23,68.43,517907.0,-0.11759360873776359,-0.08721611377012854
2024-12-26,68.64,69.24,68.4675,68.89,670762.0,-0.06256346084397535,-0.08228558318489791
2024-12-24,68.48,68.89,68.15,68.89,381784.0,-0.018735698695351743,-0.06957560628698868
2024-12-23,68.22,68.68,68.1,68.56,574409.0,-0.010508982496915564,-0.05776228152897406
2024-12-20,68.24,69.41,68.07,68.72,2859727.0,0.008819743669917557,-0.044445876489195735
2024-12-19,68.94,69.92,68.38,68.44,1300040.0,0.0015266403115106186,-0.035251373129054464
2024-12-18,71.08,71.7,68.89,68.91,812773.0,0.033288150326313826,-0.021543468437980808
2024-12-17,71.66,72.21,70.76,70.81,1148944.0,0.20936012369601542,0.02463724998881844
2024-12-16,72.13,73.4,71.8,71.89,767913.0,0.43107622677830193,0.10592504534671514
2024-12-13,72.28,72.82,72.08,72.49,981477.0,0.6477361226202163,0.21428726080141539
2024-12-12,72.67,73.15,72.19,72.63,864823.0,0.8212703871958524,0.3356838860803028
2024-12-11,73.4,73.6915,72.46,72.88,1084758.0,0.9678140943454707,0.4621099277333364
2024-12-10,73.6,73.85,72.08,72.98,954625.0,1.0795755276467958,0.5856030477160283
2024-12-09,72.78,74.42,72.78,73.89,1313984.0,1.227427641741599,0.7139679665211425
2024-12-06,73.24,73.24,72.31,72.61,1066678.0,1.227170151169247,0.8166084034507635
2024-12-05,73.53,73.585,71.98,72.32,939146.0,1.1898496653798674,0.8912566558365843
2024-12-04,73.79,74.14,73.23,73.6,865215.0,1.2491586902983727,0.962837062728942
2024-12-03,74.65,74.65,73.24,74.02,1134148.0,1.3148947218978009,1.033248594562714
2024-12-02,74.63,74.86,73.745,74.65,841195.0,1.4016691657788556,1.1069327088059424
2024-11-29,74.2,74.67,74.05,74.49,381326.0,1.4409178706340526,1.1737297411715646
2024-11-27,74.23,74.93,74.01,74.1,609169.0,1.4241364528353273,1.2238110835043172
2024-11-26,74.53,74.59,73.75,73.9,850787.0,1.3788047271772257,1.254809812238899
2024-11-25,74.11,75.91,74.01,75.43,1303108.0,1.4496268255684441,1.2937732149048082
2024-11-22,73.1,73.8,73.0,73.44,716572.0,1.329847822022316,1.3009881363283098
2024-11-21,71.75,73.57,71.69,72.97,975888.0,1.1833560349474652,1.2774617160521409
2024-11-20,71.5,71.93,70.73,71.75,849580.0,0.9577757911144857,1.21352453106461
2024-11-19,71.52,72.0,71.04,71.41,914209.0,0.7430018018879139,1.1194199852292708
2024-11-18,72.0,72.63,71.635,72.15,801761.0,0.6252956644381698,1.0205951210710507
2024-11-15,72.78,73.28,72.15,72.23,1214367.0,0.5323316460437866,0.9229424260655978
2024-11-14,73.0,73.8,72.91,73.0,1002355.0,0.5148546328169203,0.8413248674158624
2024-11-13,73.38,73.495,72.6202,73.11,1066369.0,0.5040694556982288,0.7738737850723357
2024-11-12,74.71,75.08,73.05,73.14,1323823.0,0.49226831173689334,0.7175526904052473
2024-11-11,75.08,75.705,74.69,75.1,1215098.0,0.6337657822887053,0.700795308781939
2024-11-08,76.01,76.28,74.81,74.86,1289404.0,0.7182579226664529,0.7042878315588418
2024-11-07,76.26,76.66,75.66,76.03,1299029.0,0.8696035264078148,0.7373509705286364
2024-11-06,77.0,77.92,75.47,76.21,1422227.0,0.9926281045367062,0.7884063973302504
2024-11-05,75.0,75.99,74.8,75.92,709103.0,1.0545689779478096,0.8416389134537623
2024-11-04,75.4,76.28,74.8,75.14,716366.0,1.0288580499599504,0.8790827407549999
2024-11-01,75.41,76.31,75.03,75.4,811313.0,1.0177300231893014,0.9068121972418602
2024-10-31,75.41,75.83,74.81,75.1,1977483.0,0.9734817968226679,0.9201461171580219
2024-10-30,76.07,76.91,75.71,75.91,917526.0,0.9923359579676401,0.9345840853199455
2024-10-29,76.06,77.04,75.51,76.35,877567.0,1.0308987798565141,0.9538470242272593
2024-10-28,77.33,78.25,76.94,77.0,710278.0,1.1012155345574257,0.9833207262932927
2024-10-25,77.37,78.11,76.66,76.87,822041.0,1.1333871738865469,1.0133340158119435
2024-10-24,77.2,78.0,76.53,77.34,851448.0,1.1831696585587963,1.047301144361314
2024-10-23,77.99,80.24,77.23,77.3,1396354.0,1.205498731637519,1.0789406618165551
2024-10-22,79.66,80.26,78.0,78.21,1549884.0,1.2818477349711372,1.1195220764474716
2024-10-21,78.83,79.6,78.1099,78.6,1196640.0,1.3581684898909714,1.1672513591361717
2024-10-18,79.0,79.17,78.28,78.75,1032245.0,1.414452061524571,1.2166914996138516
2024-10-17,79.87,80.23,78.22,78.75,1772852.0,1.4424297650947722,1.2618391527100359
2024-10-16,81.36,81.92,80.2,80.23,1158070.0,1.5659743503409942,1.3226661922362277
2024-10-15,82.5,83.005,80.9,80.95,1379175.0,1.7023585769545235,1.398604669179887
2024-10-14,81.03,82.71,80.65,82.62,1345450.0,1.9230315912305969,1.503490053590029
2024-10-11,80.34,83.2,79.5,80.87,2379229.0,1.9344075244528085,1.589673547762585
2024-10-10,87.0,87.385,86.16,86.26,808410.0,2.351247272425155,1.7419882926950991
2024-10-09,86.98,87.88,86.85,87.68,635455.0,2.764312633116603,1.9464531607794
2024-10-08,87.75,87.865,85.93,86.45,1536752.0,2.958317543822261,2.1488260373879724
2024-10-07,86.88,88.41,86.29,88.15,629945.0,3.212215208405624,2.361503871591503
2024-10-04,88.08,88.14,86.74,87.4,653661.0,3.314702379137259,2.552143573100654
2024-10-03,87.64,88.02,86.56,87.51,886082.0,3.3659991382103414,2.714914686122592
2024-10-02,88.42,88.54,87.13,88.03,981910.0,3.409311423658366,2.8537940336297467
2024-10-01,89.96,90.15,88.23,88.94,847551.0,3.4769855911899015,2.978432345141778
