date,open,high,low,close,volume,macd,macd_signal
2025-01-13,191.35,192.49,188.66,192.29,13169060.0,0.0,0.0
2025-01-10,195.42,197.62,191.6,193.17,20753794.0,0.07019943019943753,0.014039886039887506
2025-01-08,193.95,197.64,193.75,195.39,14335341.0,0.3014930073619553,0.07153051030430106
2025-01-07,198.27,202.14,195.94,196.71,16966760.0,0.5845692514937184,0.17413825854218454
2025-01-06,195.15,199.56,195.06,197.96,19483323.0,0.89940597551157,0.31919180193606167
2025-01-03,192.725,194.5,191.35,193.13,12874957.0,0.7505241384826604,0.4054582692453815
2025-01-02,191.485,193.2,188.71,190.63,17545162.0,0.4258956435057826,0.4095457440974617
2024-12-31,192.445,193.25,189.58,190.44,14355221.0,0.15154687230162267,0.3579459697382939
2024-12-30,190.865,193.78,190.36,192.69,12209534.0,0.1143614034402276,0.30922905647868065
2024-12-27,196.47,196.8,191.972,194.04,14692994.0,0.19161653292559322,0.2857065517680632
2024-12-26,196.74,198.16,195.87,197.1,7918434.0,0.49406295593632876,0.3273778326017163
2024-12-24,196.17,197.67,195.1979,197.57,6809823.0,0.7628849345807964,0.41447925299753235
2024-12-23,194.03,196.49,191.63,195.99,15235942.0,0.8387667134665548,0.4993367450913369
2024-12-20,187.01,194.1354,186.37,192.96,45319703.0,0.6469502528959481,0.5288594466522591
2024-12-19,193.28,194.6,189.52,189.7,26981196.0,0.229237068655209,0.46893497105284915
2024-12-18,196.83,198.6899,189.28,190.15,27638416.0,-0.06474604798532368,0.3621987672452146
2024-12-17,198.53,202.88,196.69,197.12,24129481.0,0.26167454208817276,0.34209392221380625
2024-12-16,194.365,200.64,194.11,198.16,32248640.0,0.5973980865379076,0.3931547550786265
2024-12-13,192.71,194.34,191.26,191.38,18883217.0,0.31276669730010553,0.3770771435229223
2024-12-12,196.3,196.7053,193.28,193.63,25197757.0,0.26568778325565745,0.3547992714694694
2024-12-11,186.7,196.89,186.26,196.71,41664489.0,0.4714728188817219,0.3781339809519199
2024-12-10,184.535,188.03,182.67,186.53,34317438.0,-0.18475227080020318,0.2655567306014953
2024-12-09,175.715,178.04,175.4,177.1,19887786.0,-1.4490340103424444,-0.07736141758729265
2024-12-06,173.88,176.8389,173.55,176.49,13319549.0,-2.471715897330313,-0.5562323135358967
2024-12-05,177.32,177.71,174.01,174.31,16145520.0,-3.418697821354101,-1.1287254150995376
2024-12-04,172.78,176.43,172.75,176.09,18239842.0,-3.979681404890073,-1.6989166130576447
2024-12-03,173.12,174.32,172.51,173.02,15721483.0,-4.6187462477756185,-2.2828825400012396
2024-12-02,170.32,173.6,170.27,172.98,16593444.0,-5.069993674563165,-2.8403047669136248
2024-11-29,170.06,170.87,168.75,170.49,9250712.0,-5.564389878746425,-3.385121789280185
2024-11-27,170.68,171.14,169.67,170.82,12433371.0,-5.862000695371506,-3.8804975704984495
2024-11-26,169.49,171.495,169.43,170.62,14937478.0,-6.044322552324246,-4.313262566863609
2024-11-25,167.99,170.46,167.4,169.43,21395652.0,-6.213214918286383,-4.693253037148164
2024-11-22,167.16,168.2645,165.71,166.57,24497042.0,-6.502880277165133,-5.055178485151558
2024-11-21,175.455,175.58,165.31,169.24,38839431.0,-6.442727720421516,-5.332688332205549
2024-11-20,178.83,179.11,175.33,177.33,15729806.0,-5.676822125019299,-5.401515090768299
2024-11-19,175.235,180.17,175.116,179.58,15392866.0,-4.832573329476048,-5.28772673850985
2024-11-18,174.955,176.91,174.42,176.8,18725422.0,-4.33781916397092,-5.097745223602064
2024-11-15,175.64,175.88,172.745,173.89,21708870.0,-4.1328941720341845,-4.904775013288488
2024-11-14,179.75,180.445,176.03,177.35,17925763.0,-3.649230498328393,-4.653666110296469
2024-11-13,182.15,182.615,180.12,180.49,13969709.0,-2.9782207198029766,-4.318577032197771
