date,open,high,low,close,volume,macd,macd_signal
2025-01-13,51.06,51.13,50.65,50.85,5816244.0,0.0,0.0
2025-01-10,51.15,51.735,50.55,50.87,12003224.0,0.001595441595441116,0.0003190883190882232
2025-01-08,51.4,51.52,50.95,51.49,6487179.0,0.052285939237506796,0.01071245850277194
2025-01-07,52.29,52.42,51.44,51.46,5365692.0,0.08901170303983719,0.026372307410184988
2025-01-06,53.06,53.18,51.97,52.09,6242376.0,0.16702748148280477,0.05450334222470895
2025-01-03,52.83,53.18,52.595,53.14,5609678.0,0.3100081913001347,0.1056043120397941
2025-01-02,52.46,52.98,52.38,52.51,5473356.0,0.36824084780887034,0.15813161919360935
2024-12-31,52.21,52.364,51.835,52.29,4708866.0,0.39211838954296496,0.2049289732634805
2024-12-30,52.24,52.33,51.63,52.08,5409897.0,0.38960514287261105,0.24186420718530663
2024-12-27,52.34,52.85,52.1,52.38,6425528.0,0.4071277542519809,0.2749169165986415
2024-12-26,52.28,52.78,51.955,52.6,5231835.0,0.43376652095374624,0.30668683746966247
2024-12-24,53.62,53.64,53.39,53.47,5406818.0,0.5190958507519525,0.3491686401261205
2024-12-23,53.84,53.85,52.95,53.58,7199632.0,0.5888086208132037,0.39709663626353714
2024-12-20,52.92,53.88,52.85,53.84,27063835.0,0.6574575589430935,0.4491688207994484
2024-12-19,53.43,53.78,52.975,52.99,10823516.0,0.635943677888811,0.48652379221732095
2024-12-18,54.02,54.17,53.21,53.25,10619446.0,0.6325815924145033,0.5157353522567575
2024-12-17,54.59,54.692,53.95,54.13,10125526.0,0.692938003026768,0.5511758824107597
2024-12-16,55.1,55.185,54.66,54.7,6723314.0,0.7777991452098689,0.5965005349705815
2024-12-13,54.85,55.1845,54.55,54.92,6532765.0,0.8529718446956593,0.6477947969155972
2024-12-12,54.9,55.055,54.52,54.99,6278749.0,0.9077314030426962,0.699782118141017
2024-12-11,55.69,56.0,54.61,54.69,9363845.0,0.9163580495762105,0.7430973044280558
2024-12-10,55.7,56.13,55.41,55.49,8319917.0,0.9764916552696974,0.7897761745963842
2024-12-09,57.39,57.39,55.325,55.86,8641403.0,1.0419924385877337,0.8402194273946542
2024-12-06,57.63,58.01,57.01,57.32,5732967.0,1.1979033948786437,0.9117562208914521
2024-12-05,56.65,57.3671,56.6,56.91,5398617.0,1.273697980065208,0.9841445727262034
2024-12-04,56.605,56.83,56.3,56.45,8579806.0,1.2818709686864196,1.0436898519182467
2024-12-03,57.25,57.34,56.83,56.9,8734823.0,1.309563527079824,1.0968645869505622
2024-12-02,57.62,57.66,56.95,57.18,5625266.0,1.3386723574213306,1.145226141044716
2024-11-29,57.54,57.75,57.21,57.74,3635528.0,1.3908952603108702,1.1943599648979468
2024-11-27,57.59,58.035,57.45,57.65,5723671.0,1.4087804946509834,1.2372440708485541
2024-11-26,56.87,57.6,56.77,57.59,7787239.0,1.401952339280406,1.2701857245349246
2024-11-25,56.915,57.2,56.4018,56.75,13567738.0,1.3136174330580985,1.2788720662395594
2024-11-22,56.25,56.84,56.24,56.73,6617637.0,1.2278437323647466,1.268666399464597
2024-11-21,55.99,56.48,55.72,56.03,5333623.0,1.0908091380053975,1.2330949471727572
2024-11-20,55.98,56.07,55.405,55.98,5716335.0,0.9670263744702297,1.1798812326322519
2024-11-19,56.29,56.49,55.83,55.86,6915825.0,0.8494526836723608,1.1137955228402738
2024-11-18,56.03,56.55,55.98,56.34,8719203.0,0.7859467699854576,1.0482257722693107
2024-11-15,55.55,56.3198,55.53,55.93,8201730.0,0.6945282134502975,0.9774862605055081
2024-11-14,54.8,55.615,54.495,55.39,6815200.0,0.5719122137324391,0.8963714511508943
2024-11-13,54.72,55.4,54.4,55.25,7233701.0,0.45815993801351595,0.8087291485234187
2024-11-12,54.07,54.715,53.78,54.44,8101155.0,0.299201204182296,0.7068235596551942
2024-11-11,54.11,54.79,53.82,53.93,5610426.0,0.1305674246372419,0.5915723326516038
2024-11-08,53.54,54.27,53.5,54.05,5712292.0,0.006531643801238829,0.47456419488153084
2024-11-07,54.33,54.455,53.425,53.54,6368443.0,-0.13140558213923725,0.3533702394773772
2024-11-06,54.58,55.05,54.08,54.29,8953099.0,-0.17814949896281007,0.24706629178933978
2024-11-05,53.8,54.3,53.59,54.19,5864084.0,-0.22071924007571653,0.15350918541632852
2024-11-04,53.93,54.05,53.5718,53.88,7831908.0,-0.2762856271006342,0.06755022291293598
2024-11-01,54.46,54.595,53.74,53.87,10986246.0,-0.3174697123526329,-0.009453764140177784
2024-10-31,51.375,54.84,51.34,54.46,25560621.0,-0.2990530302867924,-0.06737361736950072
2024-10-30,49.9,50.67,49.88,50.5,11067495.0,-0.5971134300325005,-0.17332157990210068
2024-10-29,50.02,50.425,49.95,49.95,8017282.0,-0.8677064676676594,-0.3121985574552124
2024-10-28,49.75,50.375,49.73,50.25,6314726.0,-1.045889543106398,-0.4589367545854495
2024-10-25,49.99,50.105,49.585,49.71,5325545.0,-1.2166496216626044,-0.6104793280008806
2024-10-24,49.89,50.16,49.684,49.94,4282076.0,-1.3182234766948113,-0.7520281577396668
2024-10-23,50.0,50.045,49.6,49.8,5520336.0,-1.3939497337520166,-0.8804124729421368
2024-10-22,49.44,50.12,49.16,50.06,6087256.0,-1.416653214537554,-0.9876606212612202
2024-10-21,49.62,49.69,48.98,49.06,5011523.0,-1.4980687255286398,-1.0897422421147043
2024-10-18,49.68,49.72,48.86,49.61,7148405.0,-1.500909154646692,-1.171975624621102
2024-10-17,50.08,50.31,49.68,49.74,6263941.0,-1.475659813874259,-1.2327124624717334
2024-10-16,49.97,50.3785,49.87,50.16,4928655.0,-1.405556657270509,-1.2672813014314885
2024-10-15,50.0,50.34,49.73,49.9,5140767.0,-1.3553555327830082,-1.2848961477017926
2024-10-14,49.75,49.89,49.325,49.86,5696273.0,-1.3037694035374443,-1.288670798868923
2024-10-11,49.9,49.99,49.56,49.84,4542807.0,-1.2500905911252431,-1.2809547573201872
2024-10-10,50.49,50.745,49.57,49.68,8847868.0,-1.2065520276555688,-1.2660742113872636
2024-10-09,49.66,50.34,49.61,50.23,7375703.0,-1.114816092998069,-1.2358225877094249
2024-10-08,49.975,50.15,49.46,49.55,5272015.0,-1.0844837670641496,-1.20555482358037
2024-10-07,50.1,50.14,49.69,49.92,6276359.0,-1.0188446653545071,-1.1682127919351974
2024-10-04,49.695,50.12,49.6,50.1,7410989.0,-0.9414482789397809,-1.1228598893361141
2024-10-03,50.5,50.51,49.68,49.98,6877620.0,-0.8796539787124047,-1.0742187072113722
2024-10-02,50.9,50.93,50.36,50.59,7721727.0,-0.7725541255004984,-1.0138857908691976
2024-10-01,51.06,51.33,50.77,50.93,7243940.0,-0.6527174413544117,-0.9416521209662405
2024-09-30,51.17,51.36,50.56,51.04,10018213.0,-0.5426149971789442,-0.8618446962087813
2024-09-27,51.2,51.37,51.005,51.05,4602443.0,-0.44937103097674935,-0.779349963162375
2024-09-26,50.79,51.44,50.73,51.09,6264470.0,-0.36800472092116365,-0.6970809147141328
2024-09-25,51.44,51.465,50.93,51.04,7148017.0,-0.3040510053970351,-0.6184749328507133
2024-09-24,50.79,51.375,50.64,51.19,7712696.0,-0.23851403733229404,-0.5424827537470295
2024-09-23,50.4,51.2,50.3,51.02,10945043.0,-0.19801055480485275,-0.47358831395859413
