symbol,current_price,high_price,low_price,open_price,previous_close
Symbol,0.0,0.0,0.0,0.0,0.0
MMM,131.2,133.9,130.7501,133.83,134.53
AOS,67.655,68.88,67.33,67.88,68.68
ABT,112.34,113.84,111.79,113.77,114.25
ABBV,175.0075,177.54,173.33,176.86,178.5
ACN,349.92,358.0,349.39,355.03,357.73
ADBE,409.475,413.1,405.32,410.0,419.58
AMD,116.3182,118.71,114.4501,118.18,121.84
AES,12.095,12.31,11.955,12.3,12.4
AFL,101.05,102.7,100.235,102.36,103.57
A,137.64,140.14,134.709,134.75,137.0
APD,293.59,295.22,290.0,293.72,285.25
ABNB,130.235,133.05,128.8,131.3,130.8
AKAM,90.075,92.64,90.04,92.35,93.36
ALB,86.83,87.38,84.88,85.7,87.38
ARE,95.14,96.5561,94.57,96.0,97.39
ALGN,212.72,215.0,208.01,211.0,215.37
ALLE,126.3247,128.0,126.03,127.12,128.4
LNT,56.82,57.93,56.75,57.83,58.2
ALL,181.545,190.75,176.46,188.62,191.8
GOOGL,193.35,196.52,190.31,194.295,193.95
GOOG,194.5,197.62,191.6,195.42,195.39
MO,50.76,51.735,50.695,51.15,51.49
AMZN,219.79,221.71,216.5,221.46,222.13
AMCR,9.47,9.5458,9.44,9.47,9.55
AEE,88.22,89.18,87.905,88.69,89.24
AEP,93.289,94.67,92.67,93.15,92.26
AXP,295.0775,301.315,293.54,300.43,302.85
AIG,70.655,70.72,69.24,69.24,71.43
AMT,174.2829,176.52,172.51,173.56,179.19
AWK,121.325,122.83,121.1,121.75,122.61
AMP,517.2944,528.49,514.4,528.32,534.93
AME,176.01,177.71,175.58,176.24,178.45
AMGN,260.92,264.79,260.55,260.79,264.21
APH,70.505394,71.0,69.77,70.87,71.83
ADI,213.33,219.37,212.19,217.54,220.44
ANSS,339.31,342.1,336.28,340.03,343.47
AON,349.84,353.24,346.07,348.26,352.45
APA,23.725,24.47,23.68,24.25,23.68
APO,155.7235,160.0,155.18,160.0,161.98
AAPL,235.9836,240.16,233.0,240.01,242.7
AMAT,172.85,174.72,169.505,174.72,176.99
APTV,59.51,60.41,58.89,60.0,60.8
ACGL,90.7,92.0,89.9,91.04,92.66
ADM,51.04,51.52,49.6213,49.69,49.84
ANET,115.365,116.08,112.65,115.25,115.51
AJG,286.96,290.34,283.62,285.99,285.5
AIZ,199.08,204.0,197.495,202.49,205.42
T,21.6172,22.04,21.49,21.88,22.18
ATO,137.27,138.94,136.77,138.32,139.52
ADSK,287.04,292.605,285.5102,291.37,296.37
ADP,288.25,292.85,286.9255,290.19,291.89
AZO,3263.57,3288.1,3232.93,3235.01,3303.35
AVB,211.41,214.565,210.345,212.0,212.37
AVY,185.77,187.01,184.98,185.35,187.71
AXON,569.0,574.83,562.71,572.0,577.34
BKR,43.141,44.25,42.75,43.91,43.44
BALL,52.22,53.12,52.16,52.72,53.46
BAC,45.195,46.05,44.735,46.0,46.21
BAX,29.325,29.5,29.0505,29.28,29.59
PWR,313.35,314.64,307.3975,309.31,312.2
DGX,153.23,153.42,150.71,152.54,154.03
RL,238.375,241.7,236.38,241.7,243.05
RJF,154.545,158.91,154.21,157.5,159.38
O,51.755,52.24,51.67,52.01,52.51
REG,68.965,69.52,68.54,69.08,70.15
REGN,694.155,724.73,691.0,721.33,733.59
RF,23.135,23.59,22.94,23.46,23.82
RSG,207.33,208.71,206.54,207.14,206.96
RMD,233.9,235.45,229.855,232.27,236.17
RVTY,114.255,115.89,113.58,114.0,116.42
ROK,273.73,278.15,272.08,274.38,279.56
ROL,46.315,46.51,46.0,46.0,46.35
ROP,504.31,510.755,502.17,507.47,510.3
ROST,152.24,154.43,151.98,152.3,154.63
RCL,226.53,230.4647,222.29,224.16,227.22
RTX,115.06,116.53,114.969,115.84,115.92
SPGI,483.15,491.35,481.76,489.12,495.86
CRM,319.84,322.765,316.02,322.765,326.9
SBAC,193.63,195.89,192.55,195.08,199.71
SLB,38.695,39.69,38.505,39.57,38.81
STX,88.66,88.7,86.64,87.44,88.69
SRE,78.96,82.46,78.66,81.86,82.82
NOW,1031.71,1041.53,1016.75,1039.13,1049.08
SHW,330.785,333.35,328.0,330.01,337.54
SPG,171.08,174.84,170.1,172.36,174.69
SWKS,91.22,93.98,90.4,92.14,92.63
SW,51.955,52.14,51.4,52.09,51.93
SNA,333.46,334.56,331.48,333.17,336.82
SOLV,67.485,70.0,67.25,68.98,68.96
SO,81.53,82.925,81.49,82.3,83.02
LUV,33.23,33.58,32.69,33.05,32.88
SWK,80.14,80.76,79.46,79.72,81.56
SBUX,92.14,92.7922,91.93,92.19,92.6
STT,94.3,96.65,93.7,96.65,97.73
STLD,115.96,117.33,114.81,115.07,116.48
STE,205.96,209.845,205.4718,206.45,209.43
SYK,365.85,368.82,361.16,361.62,364.1
SMCI,32.82,34.075,31.71,32.3,32.61
SYF,64.0625,64.89,63.385,64.89,65.79
SNPS,495.28,498.33,485.11,496.89,502.0
SYY,73.78,74.806,73.61,74.47,74.85
TMUS,210.94,213.4454,209.825,212.63,215.52
TROW,108.3,111.75,108.1,111.26,112.84
TTWO,179.2755,182.88,177.35,181.9,183.74
TPR,67.69,68.155,66.61,68.0,68.53
TRGP,193.77,196.815,192.0,194.0,191.98
TGT,141.74,143.0,138.445,138.74,138.22
TEL,140.81,142.82,140.63,142.01,143.7
TDY,457.94,459.745,454.92,458.07,461.96
TFX,175.8,177.495,175.02,175.42,177.96
TER,134.27,136.29,132.4,136.29,137.15
TSLA,396.204,399.28,377.29,391.4,394.94
TXN,190.67,192.91,188.415,192.91,191.66
TPL,1294.2,1314.86,1270.0,1287.95,1275.94
TXT,76.01,76.16,75.28,75.37,76.0
TMO,545.93,557.16,541.31,541.76,544.93
TJX,120.35,122.29,120.18,121.48,121.65
TSCO,55.045,55.8,54.16,54.24,54.39
TT,377.87,384.01,375.61,383.68,386.1
23-Sep-11,0.0,0.0,0.0,0.0,0.0
5-Jul-11,0.0,0.0,0.0,0.0,0.0
30-Jun-11,0.0,0.0,0.0,0.0,0.0
1-Jun-11,0.0,0.0,0.0,0.0,0.0
